,Symbol,Name,Closed_0214,%Percentage,Sector,GICS.Sub.Industry,Market_Cap,ValueRetention,ValueRetention*Market_Cap,kmedian_cluster,kmeans_cluster
0,MMM,3M Company,161.0099945,-26.79336267,Industrials,Industrial Conglomerates,92.68,73.20663733,6784.7911477443995,2,1
1,ABT,Abbott Laboratories,89.66000366,-29.93531438,Health Care,Health Care Equipment,158.11,70.06468562,11077.927443378201,2,1
2,ABBV,AbbVie Inc.,94.05000305,-31.41945996,Health Care,Pharmaceuticals,139.11,68.58054004,9540.238924964402,2,3
3,ABMD,ABIOMED Inc,167.22000119999996,-20.85875172,Health Care,Health Care Equipment,7.535,79.14124828,596.3293057898001,2,1
4,ACN,Accenture plc,212.36999509999998,-32.33978163,Information Technology,IT Consulting & Other Services,134.99,67.66021837,9133.4528777663,2,3
5,ATVI,Activision Blizzard,63.52000046,-11.09886522,Communication Services,Interactive Home Entertainment,48.83,88.90113478,4341.042411307401,2,1
6,ADBE,Adobe Inc.,379.67001339999996,-19.06919742,Information Technology,Application Software,183.48,80.93080258,14849.1836573784,2,1
7,AMD,Advanced Micro Devices Inc,55.31000137,-24.71524434,Information Technology,Semiconductors,64.69,75.28475566,4870.1708436454,2,1
8,AAP,Advance Auto Parts,133.5899963,-41.23811501,Consumer Discretionary,Automotive Retail,9.25,58.76188499,543.5474361575,3,3
9,AES,AES Corp,20.93000031,-43.28714901,Utilities,Independent Power Producers & Energy Traders,13.9,56.71285099,788.308628761,3,3
10,AFL,AFLAC Inc,52.81000137,-51.3539105,Financials,Life & Health Insurance,38.16,48.6460895,1856.33477532,1,2
11,A,Agilent Technologies Inc,85.81999969,-26.15940438,Health Care,Health Care Equipment,26.6,73.84059562,1964.1598434920002,2,1
12,APD,Air Products & Chemicals Inc,256.01000980000003,-30.96754463,Materials,Industrial Gases,56.45,69.03245537000001,3896.882105636501,2,3
13,AKAM,Akamai Technologies Inc,99.66999817,-14.17678089,Information Technology,Internet Services & Infrastructure,16.15,85.82321911,1386.0449886264996,2,1
14,ALK,Alaska Air Group Inc,66.11000061,-63.65148924,Industrials,Airlines,8.126,36.34851076,295.36799843576,1,2
15,ALB,Albemarle Corp,89.63999939,-43.21731161,Materials,Specialty Chemicals,9.505,56.78268839,539.7194531469502,3,3
16,ARE,Alexandria Real Estate Equities,174.92999269999999,-34.30514893,Real Estate,Office REITs,21.46,65.69485107,1409.8115039622,3,3
17,ALXN,Alexion Pharmaceuticals,102.55999759999999,-20.895086600000006,Health Care,Biotechnology,22.71,79.1049134,1796.4725833139996,2,1
18,ALGN,Align Technology,274.9500122,-49.91089467,Health Care,Health Care Supplies,21.57,50.08910533,1080.4220019681002,1,2
19,ALLE,Allegion,138.8999939,-43.41252561,Industrials,Building Products,12.86,56.58747439,727.7149206554,3,3
